Helene Stöcker
Rosa Luxemburg
Anna Tumarkin
Hedwig Conrad-Martius
Susan Stebbing
Edith Stein
Susanne K. Langer
Käte Hamburger
Maria Ossowska
Katharina Kanthack
Dorothy Emmet
Izydora Dąmbska
Ayn Rand
Hannah Arendt
Simone de Beauvoir
Simone Weil
Jeanne Hersch
Elfriede Walesca Tielsch
Maria Schätzle
Elizabeth Anscombe
Iris Murdoch
Philippa Foot
Ruth Barcan Marcus
Mary Hesse
Elisabeth Ströker
Ágnes Heller
Luce Irigaray
Ruth Millikan
Sarah Kofman
Ute Guzzoni
Sandra Harding
Cora Diamond
Luisa Muraro
Dorothea Frede
Karen Gloy
Julia Kristeva
Annemarie Pieper
Patricia Churchland
Chantal Mouffe
Nancy Cartwright
Donna Haraway
Helen Longino
Herta Nagl-Docekal
Susan Haack
Hanna-Barbara Gerl-Falkovitz
Adriana Cavarero
Martha Nussbaum
Nancy Fraser
Geneviève Fraisse
Seyla Benhabib
Ursula Wolf
Londa Schiebinger
Vandana Shiva
Birgit Recki
Linda Martín Alcoff
Judith Butler
Gender Trouble
Renate Breuninger
Donatella Di Cesare
Elisabeth von Samsonow
Barbara Zehnpfennig
Ruth Hagengruber
Elizabeth S. Anderson
Sally Haslanger
Petra Gehring
Rahel Jaeggi
Juliane Rebentisch
Svenja Flaßpöhler
Rebekka Reinhard
